City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,farafangana,-22.8167,47.8333,24.1,83,12,1.4,MG,1673993163
193,mao,39.8885,4.2658,10.31,71,20,8.23,ES,1673993164
194,haines junction,60.7522,-137.5108,-8.64,95,100,0.59,CA,1673993165
195,henties bay,-22.116,14.2845,20.14,82,99,3.27,NA,1673993166
196,seydi,39.4816,62.9137,-6.57,77,12,3.03,TM,1673993167
197,sinnamary,5.3833,-52.95,24.35,83,90,3.75,GF,1673993168
198,novyy urgal,51.0736,132.5642,-35.62,100,100,0.76,RU,1673993169
199,verkhozim,52.7122,45.418,-10.33,91,100,4.01,RU,1673993170
200,east bethel,45.3194,-93.2025,2.27,92,100,1.34,US,1673993171
201,saint anthony,45.0205,-93.218,2.36,89,100,6.17,US,1673993172
202,srandakan,-7.9386,110.2506,24.2,90,98,2.14,ID,1673993173
203,bogoslovka,53.2084,44.8013,-9.38,18,100,5.19,RU,1673993174
204,sao jose da tapera,-9.5583,-37.3811,27.03,59,100,7.33,BR,1673993175
205,qaqortoq,60.7167,-46.0333,-9.75,64,100,4.27,GL,1673993176
206,geraldton,-28.7667,114.6,21.23,37,0,6.17,AU,1673993177
207,moree,-29.4667,149.85,23.9,51,0,5.44,AU,1673993178
208,ishurdi,24.1333,89.0833,12.62,44,0,2.59,BD,1673993179
209,kudahuvadhoo,2.6708,72.8944,26.98,75,98,4.07,MV,1673993181
210,barrow,71.2906,-156.7887,-21.99,77,100,8.75,US,1673993182
211,caxias,38.7031,-9.2767,11.9,74,20,6.69,PT,1673993183
212,iquitos,-3.7481,-73.2472,28.02,74,40,2.06,PE,1673993184
213,barcelos,41.5388,-8.6151,8.08,79,100,8.82,PT,1673993097
214,lavrentiya,65.5833,-171.0,-30.18,93,34,4.31,RU,1673993186
215,balkanabat,39.5108,54.3671,1.05,46,0,1.47,TM,1673993187
216,muroto,33.2833,134.15,10.24,68,100,1.41,JP,1673993189
217,gboko,7.3179,8.9951,27.6,16,17,3.2,NG,1673993192
218,ust-nera,64.5667,143.2,-38.35,100,100,2.64,RU,1673993193
219,hobyo,5.3505,48.5268,24.45,77,96,8.07,SO,1673993174
220,pacific grove,36.6177,-121.9166,14.73,71,0,3.13,US,1673993194
221,coihueco,-36.6167,-71.8333,29.2,18,22,4.73,CL,1673993195
222,chernyshevskiy,63.0128,112.4714,-51.57,100,66,1.44,RU,1673993196
223,auki,-8.7676,160.7034,27.11,84,100,4.52,SB,1673993087
224,okitipupa,6.5047,4.7839,22.54,94,7,1.52,NG,1673993199
225,neiafu,-18.65,-173.9833,30.38,79,40,5.14,TO,1673993200
226,yumen,40.2833,97.2,-12.22,67,0,13.37,CN,1673993201
227,yulara,-25.2406,130.9889,25.53,53,15,11.03,AU,1673993202
228,sicuani,-14.2694,-71.2261,13.4,56,99,0.95,PE,1673993205
229,constitucion,-35.3333,-72.4167,17.38,70,7,4.01,CL,1673993207
